"region","country","country_code","age_group","age_lower","age_upper","pop_date","pop_male","pop_female","pop_both"
"Europe","Sweden","SWE","'60-69",60,69,2019-12-31,551954,556484,1108438
"Europe","Sweden","SWE","'70-74",70,74,2019-12-31,273394,287021,560415
"Europe","Sweden","SWE","'75-79",75,79,2019-12-31,205253,223345,428598
"Europe","Sweden","SWE","'80-84",80,84,2019-12-31,121578,151472,273050
"Europe","Sweden","SWE","'85-89",85,89,2019-12-31,63989,99640,163629
"Europe","Sweden","SWE","'90+",90,NA,2019-12-31,30320,69307,99627
"Europe","Sweden","SWE","'Total",NA,NA,2019-12-31,5195814,5131775,10327589
"Europe","Sweden","SWE","'0-9",0,9,2020-12-31,625343,590088,1215431
"Europe","Sweden","SWE","'10-19",10,19,2020-12-31,618383,580560,1198943
"Europe","Sweden","SWE","'20-29",20,29,2020-12-31,676875,620348,1297223
"Europe","Sweden","SWE","'30-39",30,39,2020-12-31,717458,681221,1398679
"Europe","Sweden","SWE","'40-49",40,49,2020-12-31,662070,639392,1301462
"Europe","Sweden","SWE","'50-59",50,59,2020-12-31,663693,646552,1310245
"Europe","Sweden","SWE","'60-69",60,69,2020-12-31,550672,555288,1105960
"Europe","Sweden","SWE","'70-74",70,74,2020-12-31,268233,282384,550617
"Europe","Sweden","SWE","'75-79",75,79,2020-12-31,219254,237761,457015
"Europe","Sweden","SWE","'80-84",80,84,2020-12-31,125935,155095,281030
"Europe","Sweden","SWE","'85-89",85,89,2020-12-31,64699,98675,163374
"Europe","Sweden","SWE","'90+",90,NA,2020-12-31,30232,69084,99316
"Europe","Sweden","SWE","'Total",NA,NA,2020-12-31,5222847,5156448,10379295
"Europe","Sweden","SWE","'0-9",0,9,2021-12-31,623360,588676,1212036
"Europe","Sweden","SWE","'10-19",10,19,2021-12-31,627332,590706,1218038
"Europe","Sweden","SWE","'20-29",20,29,2021-12-31,663261,607269,1270530
"Europe","Sweden","SWE","'30-39",30,39,2021-12-31,738373,699413,1437786
